name,cas,cid,smiles,activity_result,toxicity_result,availability_result,activity_summary,toxicity_summary,availability_summary,activity_brief,activity_label,toxicity_brief,toxicity_label,availability_brief,availability_label,overall_evaluation,recommended_for_experiment
Lamivudine,134678-17-4,60825,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,"Lamivudine, PubChem CID 60825, has a variety of biological activities as reported in the ChEMBL database.

Here's a summary of the activities:

*   **Antiviral Activity:** It shows activity against several viruses including Duck hepatitis B virus, Hepatitis B virus, Human immunodeficiency virus (HIV), Human alphaherpesvirus 1, Human gammaherpesvirus 4, HBV genotype D, Cowpox virus, Human adenovirus 2, Vaccinia virus, Human immunodeficiency virus 2, Betapolyomavirus hominis and Human alphaherpesvirus 2. The activity is measured using various methods such as EC50 and IC50.
*   **Enzyme Inhibition:** It inhibits heat shock factor protein 1.
*   **Other Activities:** It has some activity against Human T-cell leukemia virus type I.
*   **Inactivity:** It is not active against Mycobacterium tuberculosis, Mycobacterium avium, Leukotriene LTC4 Synthase enzyme, Progesterone receptor, Virion infectivity factor, Candida albicans, Cryptococcus neoformans, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Acinetobacter baumannii and Staphylococcus aureus.
*   **Toxicity:** It has shown toxicity in Woodchuck hepatitis virus infected woodchucks.","The toxicity analysis for Lamivudine (CAS number 134678-17-4) indicates that in rats, the oral LD50 is greater than 5000.0 mg/kg, classifying it as having low acute oral toxicity.","OK. I have analyzed the compound with SMILES C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N, and here is the availability information:
The compound is in stock. The best prices are:
- 1 mg, 95% purity for $2111 (delivery in 25 working days).
- 5 mg, 95% purity for $2203 (delivery in 35 working days).
- 10 mg, 95% purity for $2203 (delivery in 35 working days).","Lamivudine exhibits antiviral activity against a range of viruses, including Duck hepatitis B virus, Hepatitis B virus, and HIV. It also inhibits heat shock factor protein 1 and shows some activity against Human T-cell leukemia virus type I. It is inactive against several bacteria and fungi. Toxicity was observed in Woodchuck hepatitis virus infected woodchucks.",Lamivudine exhibits low acute oral toxicity in rats (LD50 > 5000.0 mg/kg).,"Lamivudine is in stock, with 1 mg (95% purity) available for $2111 (25 working days delivery) and 5-10 mg (95% purity) for $2203 (35 working days delivery).","Antiviral, Enzyme Inhibitor","Antiviral, Enzyme Inhibitor",Low acute oral toxicity in rats,,"In stock, expensive","In stock, expensive","Lamivudine demonstrates promising antiviral activity but exhibits toxicity in specific animal models. It is available but at a high cost. Further investigation of its algicidal potential, if any, is dependent on whether its known antiviral mechanisms could translate to algae.",60
"1-Methyl-6-oxo-1,6-dihydropyridine-3-carbonitrile",768-45-6,69851,CN1C=C(C=CC1=O)C#N,"I am sorry, but I couldn't retrieve any activity information for the molecule with PubChem CID 69851 from the ChEMBL database.","I encountered an issue while retrieving the toxicity data for the molecule with CAS number 768-45-6. The EPA database returned the data in an unexpected format, which I was unable to parse.","The molecule 1-Methyl-6-oxo-1,6-dihydropyridine-3-carbonitrile with SMILES CN1C=C(C=CC1=O)C#N is potentially purchasable. The best prices are:
- 377 USD for 1 mg with 90% purity and a delivery time of 38 working days.
- 507 USD for 5 mg with 90% purity and a delivery time of 38 working days.
- 507 USD for 10 mg with 90% purity and a delivery time of 38 working days.",No activity data was found for PubChem CID 69851 in the ChEMBL database.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,The molecule is potentially purchasable. The best price is 377 USD for 1 mg with 90% purity and a delivery time of 38 working days.,No activity data,No data,Data retrieval failure,No data,Potentially purchasable,"In stock, expensive","Due to the absence of activity and toxicity data, and only limited information of the availability, the suitability of this molecule cannot be determined. Further investigation of activity and toxicity is crucial before proceeding.",30
Ricinine,524-40-3,10666,CN1C=CC(=C(C1=O)C#N)OC,"Based on the ChEMBL database, Ricinine (CID 10666) has the following biological activities:

*   **ADMET:** LD50 = 80.0 mg/kg (lethal dose, administered orally in rats with liver injuries).
*   **Rattus norvegicus:** ED = 6.0 mg/kg (effective dose, administered orally in rats with liver injuries).
*   **Homo sapiens (Prelamin-A/C):** Inconclusive potency = 1778.3 nM in qHTS assay for modulators of Lamin A splicing.
*   **Bacillus anthracis (Anthrax lethal factor):** Inconclusive potency = 12589.3 nM in qHTS assay for Anthrax Lethal Toxin Internalization.
*   **Plasmodium falciparum:** Inactive in primary qHTS for delayed death inhibitors of the malarial parasite plastid.
*   **SARS-CoV-2:** IC50 > 20000.0 nM, Antiviral activity determined as inhibition of SARS-CoV-2.",The toxicity analysis for Ricinine (CAS number 524-40-3) indicates that it has been tested for acute oral toxicity in rats. The reported LD50 value is 5281.0 mg/kg.,"OK. I found some availability information for Ricinine (SMILES: CN1C=CC(=C(C1=O)C#N)OC). It is currently in stock. The best prices are:

*   1 mg, 95% purity: $124 USD, delivery in 37 working days
*   5 mg, 95% purity: $124 USD, delivery in 37 working days
*   10 mg, 95% purity: $124 USD, delivery in 37 working days","Ricinine shows activity in rats (LD50 = 80.0 mg/kg, ED = 6.0 mg/kg), inconclusive activity against human Prelamin-A/C and Bacillus anthracis, inactivity against Plasmodium falciparum, and no antiviral activity against SARS-CoV-2 (IC50 > 20000.0 nM).",Ricinine has an acute oral toxicity LD50 of 5281.0 mg/kg in rats.,"Ricinine is in stock and available at 95% purity, with prices of $124 USD for 1mg, 5mg or 10mg, and a delivery time of 37 working days.","Rat toxic, Inconclusive enzyme modulator, inactive against plasmodium and SARS-CoV-2",Rat toxic,Acute oral toxicity in rats,,"In stock, expensive, long delivery","In stock, expensive","Ricinine exhibits toxicity in rats. Its activity against intended targets is either inconclusive or inactive. Although it is available, the cost is high, and delivery time is long. It looks like two different values were found for LD50 of Ricinine, 80mg/kg from ADMET and 5281 mg/kg. Therefore, its unsuitability for experimental validation is high.",10
Zidovudine,30516-87-1,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],"Zidovudine (PubChem CID 35370) demonstrates a range of biological activities. It is effective against several viruses, including HIV-1, HIV-2, and Simian immunodeficiency virus, with EC50 values as low as 2.0 nM. It also shows activity against other retroviruses like Moloney murine leukemia virus and Feline leukemia virus. Additionally, it exhibits some activity against bacteria such as Escherichia coli and Klebsiella pneumoniae, but generally at higher concentrations (MIC values in the micromolar range).","Zidovudine (CAS number 30516-87-1) toxicity data:

Based on the EPA data, Zidovudine has been tested for toxicity in rats and mice via oral exposure.

Acute toxicity:
  - In rats, the oral LD50 ranges from 1254.0 to 3084.0 mg/kg.
  - In mice, the oral LD50 is 3062.0 mg/kg.

Chronic toxicity (mice):
  -LOAEL (Lowest Observed Adverse Effect Level) values range from >120.0 mg/kg-day.
  -NOAEL (No Observed Adverse Effect Level) values range from 60.0 to >=120.0 mg/kg-day.
  -LEL (Lowest Effect Level) values range from 30.0 to 120.0 mg/kg-day.
  -NEL (No Effect Level) values range from <30.0 to 60.0 mg/kg-day.

Subchronic toxicity (mice):
  -LOAEL values range from >400.0 to >2000.0 mg/kg-day.
  -NOAEL values range from >=400.0 to >=2000.0 mg/kg-day.
  -LEL values range from 50.0 to 2000.0 mg/kg-day.
  -NEL values range from <50.0 to 800.0 mg/kg-day.",I was unable to retrieve the compound price information for Zidovudine from the MCULE API using the provided SMILES string. There might be an issue with the SMILES string or the availability of the compound in the MCULE database. I am unable to provide availability information at this time.,"Zidovudine is active against several viruses, including HIV-1, HIV-2, and Simian immunodeficiency virus, with EC50 values as low as 2.0 nM. It also shows activity against other retroviruses. It exhibits some activity against bacteria at higher concentrations.","Zidovudine has been tested for toxicity in rats and mice via oral exposure. In rats, the oral LD50 ranges from 1254.0 to 3084.0 mg/kg. In mice, the oral LD50 is 3062.0 mg/kg. Chronic and subchronic toxicity data (LOAEL, NOAEL, LEL, NEL) are available for mice.",The availability and price information for Zidovudine could not be retrieved from the MCULE API.,"Antiviral, antibacterial","Antiviral, Antibacterial",Oral toxicity in rats and mice,Mammalian toxicity,Availability data unavailable,No data,"Zidovudine demonstrates promising antiviral activity, particularly against HIV. Toxicity data indicates moderate oral toxicity in rats and mice. The lack of availability information hinders a complete assessment. It would be a interesting as a starting point to validate againist algae.",65
"4-Amino-1-((2S,3S,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)pyrimidin-2(1H)-one",26524-60-7,122948,C1=CN(C(=O)N=C1N)[C@@H]2[C@H]([C@H]([C@@H](O2)CO)O)O,"I'm sorry, I couldn't find activity data for the molecule with PubChem CID 122948 in the ChEMBL database.","I encountered an issue when trying to retrieve the toxicity data for the molecule with CAS number 26524-60-7. The EPA database returned the data in an unexpected format, which I was unable to parse. I will need more information to proceed.","The molecule C1=CN(C(=O)N=C1N)[C@@H]2[C@H]([C@H]([C@@H](O2)CO)O)O, also known as 4-Amino-1-((2S,3S,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)pyrimidin-2(1H)-one, is available in stock with MCULE ID MCULE-5012350696. The best prices are:
- 1 mg, 95% purity for $375 (delivery in 15 working days)
- 5 mg, 95% purity for $375 (delivery in 15 working days)
- 10 mg, 95% purity for $415 (delivery in 15 working days)",No activity data was found in the ChEMBL database for this molecule.,Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"The molecule is available in stock from MCULE, with prices starting at $375 for 1mg or 5mg at 95% purity and a 15-day delivery time.",No activity data,No data,Toxicity data unavailable,No data,In stock but expensive,"In stock, expensive","Due to the lack of activity and toxicity data, and the relatively high price, it is difficult to recommend this molecule for immediate experimental validation. Further investigation is needed to determine its potential before investing in experiments.",30
Cytidine,65-46-3,6175,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,"The ChEMBL database contains multiple records about Cytidine's bioactivity. Here's a summary of the findings:

*   ** 囟丿 丕賱賵乇賲:** It inhibits the growth of L-1210 leukemic cells in mice with a concentration of 0.001 M.
*   ** 囟丿 丕賱胤賮賷賱賷丕鬲:** It inhibits Plasmodium falciparum with an EC50 of 385.0 nM.
*   ** 丕賱賲囟丕丿丞 賱賱賮賷乇賵爻丕鬲:** It shows antiviral activity against Hepatitis C virus with an EC50 of 50000.0 nM.
*   **兀賴丿丕賮 兀禺乇賶:** It interacts with various other targets, including enzymes and organisms like Mycobacterium tuberculosis and Saccharomyces cerevisiae, with varying degrees of inhibition.

It is important to note that some assays show low or no activity against certain targets.","I encountered an issue while retrieving the toxicity data for Cytidine (CAS number 65-46-3) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will try again later.","The molecule Cytidine (SMILES: Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1) is available in stock. The best prices are:

*   1 mg for 375 USD (95% purity, 15 working days delivery)
*   5 mg for 375 USD (95% purity, 15 working days delivery)
*   10 mg for 415 USD (95% purity, 15 working days delivery)","Cytidine shows antitumor activity against L-1210 leukemic cells, antiparasitic activity against Plasmodium falciparum, and antiviral activity against Hepatitis C virus. It also interacts with other targets, with varying degrees of inhibition. Some assays show low or no activity.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,"Cytidine is in stock with 95% purity, available in quantities of 1mg, 5mg, and 10mg, with a 15-working-day delivery time. Prices range from 375 to 415 USD.","Antitumor, antiparasitic, antiviral activity","Antitumor, Antiparasitic, Antiviral",Toxicity data unavailable,No data,"In stock, expensive","In stock, expensive","Cytidine shows promising bioactivity, particularly against parasites. However, the lack of toxicity data is a concern. The high cost of the compound should be considered.",65
2-Fluorohistamine,50581-18-5,567878,C1=C(NC(=N1)F)CCN,"I'm sorry, I couldn't find activity data for the molecule with CID 567878 in the ChEMBL database.","I encountered an issue while retrieving the toxicity data for the molecule 2-Fluorohistamine with CAS number 50581-18-5. The EPA database returned the data in an unexpected format, which I am unable to parse at this time. I apologize for any inconvenience.",I was unable to retrieve the compound price information for 2-Fluorohistamine using the provided SMILES string. There might be an issue with the SMILES or the availability of the compound in the MCULE database. I can try again if you would like.,No activity data was found for the molecule with CID 567878 in the ChEMBL database.,An error occurred while retrieving toxicity data from the EPA database; the data format was unexpected.,"Compound price information could not be retrieved, possibly due to issues with the SMILES string or compound availability in the MCULE database.",No activity data,No data,Toxicity data unavailable,No data,Availability unknown,No data,"Due to the lack of data on activity, toxicity, and availability, it is difficult to provide a comprehensive evaluation. Further investigation is required before a reliable assessment can be made.",20
Thymidine,50-89-5,5789,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,"Thymidine, PubChem CID 5789, has a variety of biological activities. Some key highlights from the data:

*   **Anti-viral activity:** It shows activity against several viruses including Herpes simplex virus type-1 (HSV-1), Hepatitis B virus (HBV), and Human adenovirus 2. The activity is measured by different methods such as plaque inhibition assay, reduction in viral DNA level, and inhibition of virus-induced cytopathic effect.
*   **Enzyme inhibition:** Thymidine inhibits thymidine monophosphate kinase (TMPK) in Mycobacterium tuberculosis and thymidine kinase in various organisms.
*   **Toxicity:** It has low toxicity in brine shrimp (LC50 > 1000 ppm).

It is important to note that the activity data comes from various assays and organisms, so the relevance of each activity might vary depending on the specific application you are interested in.","The toxicity analysis for Thymidine (CAS number 50-89-5) reveals the following:

*   **Green Algae:**Showed an EC50 greater than 3,750,000 mg/m3 and an EC10 of 5,990,000 mg/m3 in aqueous exposure. Chronic exposure resulted in an EC10 of 5990.0 mg/L.
*   **Rat:** The oral and dermal LD50 values are greater than 2000.0 mg/kg, indicating low acute toxicity. Additionally, the LD0 values for oral and dermal exposure are 2000.0 mg/kg.","OK. I found Thymidine is in stock. Here are the best prices: 
* 1 mg at 90% purity for $49 (USD), delivery in 21 working days.
* 5 mg at 90% purity for $79 (USD), delivery in 21 working days.
* 10 mg at 90% purity for $94 (USD), delivery in 21 working days.","Thymidine demonstrates antiviral activity against HSV-1, HBV, and Human adenovirus 2. It also inhibits thymidine monophosphate kinase in Mycobacterium tuberculosis and thymidine kinase in various organisms. It exhibits low toxicity in brine shrimp.","Thymidine shows low toxicity in rats (oral and dermal LD50 > 2000 mg/kg). Green algae show an EC50 greater than 3,750,000 mg/m3 and an EC10 of 5,990,000 mg/m3 in aqueous exposure. Chronic exposure resulted in an EC10 of 5990.0 mg/L for green algae.","Thymidine is in stock and available in quantities of 1mg, 5mg, and 10mg at 90% purity, with prices ranging from $49 to $94 USD and a delivery time of 21 working days.","Antiviral, enzyme inhibitor","Antiviral, Enzyme inhibitor","Low acute toxicity in rats, algal toxicity",,"In stock, reasonable price",In stock,"Thymidine shows promising antiviral and enzyme inhibitory activity, with relatively low toxicity in rats. However, some toxicity is observed in green algae. The compound is readily available, making it a reasonable candidate for further experimental validation.",75
"4-Methoxy-2-oxo-1,2-dihydropyridine-3-carbonitrile",21642-98-8,2786702,COC1=C(C(=O)NC=C1)C#N,"The compound with PubChem CID 2786702, also known as 4-Methoxy-2-oxo-1,2-dihydropyridine-3-carbonitrile, has been tested for its inhibitory activity against the induced myeloid leukemia cell differentiation protein Mcl-1. The assay description indicates that the compound was tested for its ability to inhibit the binding of FAM-Bid peptide to Mcl1, which was expressed in Escherichia coli BL21. The target organism for this assay was Homo sapiens, meaning the Mcl-1 protein was of human origin. The result of the assay was ""Not Active"".","I encountered an issue while fetching the toxicity data for the molecule with CAS number 21642-98-8 from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. I will try again later.",I was unable to retrieve the compound availability information for the requested molecule using the provided SMILES. There might be an issue with the SMILES or the external database connection. I am unable to provide activity and toxicity information.,"The compound 4-Methoxy-2-oxo-1,2-dihydropyridine-3-carbonitrile (PubChem CID 2786702) was tested for its ability to inhibit the binding of FAM-Bid peptide to human Mcl-1 protein. The compound was found to be ""Not Active"" in this assay.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Compound availability information could not be retrieved using the provided SMILES. There might be an issue with the SMILES or the external database connection.,Mcl-1 Inhibitor (Not Active),No data,Data Retrieval Failure,No data,Data Retrieval Failure,No data,"Based on the available data, the compound was found to be inactive in the tested assay. Toxicity and availability data are unavailable. This limits a complete evaluation.",20
Thiamine,70-16-6,1130,Cc1ncc(C[n+]2csc(CCO)c2C)c(=N)[nH]1,"The molecule Thiamine (PubChem CID 1130) has several recorded biological activities:

*   **Target Interactions:** It interacts with targets like Transketolase in *Homo sapiens*, Solute carrier family 22 member 1 in *Mus musculus*, and Solute carrier family 22 member 5 in *Rattus norvegicus*.
*   **Enzyme Inhibition:** It inhibits apo-transketolase with a Kd of 6800000.0 nM.
*   **Transporter Inhibition:** It inhibits TEA uptake in Oct1-expressing BALB/3T3 cells and OCTN2-expressing HRPE cells.
*   **Binding Affinity:** It binds to Thiamine transporter ThiT in *Lactococcus lactis* with a Kd of 0.122 nM.
*   **Antiviral Activity:** It shows antiviral activity against SARS-CoV-2.
*   **Hepatotoxicity:** No evidence of hepatotoxicity was found in any species.","I encountered an issue while retrieving the toxicity data for Thiamine (CAS number 70-16-6) from the EPA database. The data was returned in an unexpected format, which I am unable to process at this time. Please try again later.",I was unable to retrieve the compound price information for Thiamine using the provided SMILES string. There might be an issue with the SMILES string or the availability of this compound in the MCULE database. I can only provide information about availability and pricing from MCULE.,"Thiamine interacts with various targets, inhibits apo-transketolase and TEA uptake in transporter-expressing cells, binds to Thiamine transporter ThiT, and shows antiviral activity against SARS-CoV-2. No hepatotoxicity was observed.",Toxicity data retrieval from the EPA database failed due to an unexpected data format.,Compound price information could not be retrieved from the MCULE database using the provided SMILES string.,"Enzyme Inhibitor, Transporter Inhibitor, Antiviral","Enzyme Inhibitor, Transporter Inhibitor, Antiviral",Data Retrieval Failure,No data,Price Data Unavailable,No data,"Thiamine shows promising activity as an enzyme and transporter inhibitor with antiviral properties. However, the absence of toxicity data and price information makes it difficult to fully evaluate its potential.",60
