smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,0,,0,
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,0,0,0,
C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N,0,0,,
CC(=O)NP(=O)(OC)SC,0,0,,0
CC(=O)N[C@@H](CS)C(=O)O,0,,,
CC(C)(C)OC,0,,,
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0,0,,1
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0,,1,
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,0,0,0,
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0,,,
CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,0,0,1,
CC1=NC=C(N1CCO)[N+](=O)[O-],0,0,0,
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,0,,,
CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,0,,,
CCCCOC(=O)C1=CC=CC=C1C(=O)O,0,0,0,
CCCCS(=N)(=O)CC[C@@H](C(=O)O)N,0,,,
CCNC1=NC(=NC(=N1)Cl)NCC,0,1,1,1
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,0,0,1,
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,0,,1,
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0,0,0,
CN\1COCN(/C1=N/[N+](=O)[O-])CC2=CN=C(S2)Cl,0,0,0,
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0,0,,
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,0,,,
C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,0,0,1,
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,0,,,
C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,1,,,
C(=C(Cl)Cl)(Cl)Cl,1,1,0,0
C(=N)(N)N[N+](=O)[O-],0,0,,
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0,0,0,
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,0,0,,
C(=O)(N)N,1,0,,
C(C(=O)O)NCP(=O)(O)O,0,0,0,0
