structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q43656,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,57-88-5
http://www.wikidata.org/entity/Q27137775,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)C)C)C)C(C)C,915-05-9
http://www.wikidata.org/entity/Q121802,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,19044-06-5
http://www.wikidata.org/entity/Q27109256,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,474-63-5
http://www.wikidata.org/entity/Q104253515,C=C(C)[C@@H](CC)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,2364-23-0
http://www.wikidata.org/entity/Q76294346,C[C@H](CCC(=C)C(C)(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,89702-24-9
http://www.wikidata.org/entity/Q105382975,C=C(C)[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)CC,26315-07-1
http://www.wikidata.org/entity/Q425004,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,83-48-7
http://www.wikidata.org/entity/Q2756479,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,474-62-4
http://www.wikidata.org/entity/Q27288596,C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C,481-14-1
http://www.wikidata.org/entity/Q586501,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C,469-38-5
http://www.wikidata.org/entity/Q207688,CCCCCCCC\C=C/CCCCCCCC(O)=O,112-80-1
http://www.wikidata.org/entity/Q27286664,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,28290-79-1
http://www.wikidata.org/entity/Q407426,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,60-33-3
http://www.wikidata.org/entity/Q209685,CCCCCCCCCCCCCCCCCC(=O)O,57-11-4
http://www.wikidata.org/entity/Q209727,CCCCCCCCCCCCCCCC(=O)O,57-10-3
http://www.wikidata.org/entity/Q256502,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,463-40-1
http://www.wikidata.org/entity/Q27102014,C[C@H]1[C@@H]2CC[C@H]3[C@@]4(CC[C@@H]([C@]4(CC[C@@]35[C@@]2(C5)CC[C@@H]1O)C)[C@H](C)CCC(=C)C(C)C)C,469-39-6
http://www.wikidata.org/entity/Q27136302,C[C@]12CCC(C[C@H]1[C@@]3(CC[C@@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@]4(C3=CC2)C)(C)C)C)C)(C)C,514-07-8
http://www.wikidata.org/entity/Q15269695,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,481-18-5
http://www.wikidata.org/entity/Q27105441,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C,1449-09-8
http://www.wikidata.org/entity/Q407560,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,111-02-4
http://www.wikidata.org/entity/Q27139858,CCCCCC/C=C/CCCCCCCC(=O)O,2091-29-4
